x (miles),y (miles)
0,0
0.309287036,0.343498053
0.618574072,0.686996105
0.927861107,1.030494158
1.237148143,1.373992211
1.546435179,1.717490263
1.855722215,2.060988316
2.165009251,2.404486369
2.474296286,2.747984421
2.783583322,3.091482474
3.092870358,3.434980527
3.402157394,3.778478579
3.71144443,4.121976632
4.020731465,4.465474685
4.330018501,4.808972737
4.639305537,5.15247079
4.890614818,5.142941366
5.1419241,5.133411941
5.393233381,5.123882517
5.644542662,5.114353093
5.895851944,5.104823668
6.147161225,5.095294244
6.398470506,5.085764819
6.649779788,5.076235395
6.901089069,5.066705971
7.15239835,5.057176546
7.403707631,5.047647122
7.655016913,5.038117698
7.906326194,5.028588273
8.157635475,5.019058849
8.408944757,5.009529424
8.660254038,5
4.680548481,5.360471426
4.721791425,5.568472062
4.763034369,5.776472697
4.804277313,5.984473333
4.845520257,6.192473969
4.886763201,6.400474605
4.928006145,6.60847524
4.96924909,6.816475876
5.010492034,7.024476512
5.051734978,7.232477148
5.092977922,7.440477783
5.134220866,7.648478419
5.17546381,7.856479055
5.216706754,8.064479691
5.257949698,8.272480326
5.299192642,8.480480962
