x (miles),y (miles)
0,0
0.328013378,0.213014378
0.656026755,0.426028756
0.984040133,0.639043134
1.312053511,0.852057513
1.640066888,1.065071891
1.968080266,1.278086269
2.296093644,1.491100647
2.624107021,1.704115025
2.952120399,1.917129403
3.280133777,2.130143781
3.608147154,2.343158159
3.936160532,2.556172538
4.26417391,2.769186916
4.592187287,2.982201294
4.920200665,3.195215672
5.216391765,3.157276596
5.512582865,3.119337519
5.808773965,3.081398443
6.104965065,3.043459367
6.401156164,3.00552029
6.697347264,2.967581214
6.993538364,2.929642138
7.289729464,2.891703062
7.585920564,2.853763985
7.882111664,2.815824909
8.178302764,2.777885833
8.474493864,2.739946756
8.770684963,2.70200768
9.066876063,2.664068604
9.363067163,2.626129527
9.659258263,2.588190451
5.069784187,3.421763668
5.219367709,3.648311663
5.368951231,3.874859659
5.518534753,4.101407654
5.668118275,4.32795565
5.817701797,4.554503645
5.967285319,4.781051641
6.116868841,5.007599637
6.266452362,5.234147632
6.416035884,5.460695628
6.565619406,5.687243623
6.715202928,5.913791619
6.86478645,6.140339614
7.014369972,6.36688761
7.163953494,6.593435605
7.313537016,6.819983601
