x (miles),y (miles)
0,0
0.356869657,0.396343907
0.713739313,0.792687814
1.07060897,1.189031721
1.427478627,1.585375628
1.784348284,1.981719535
2.14121794,2.378063442
2.498087597,2.774407348
2.854957254,3.170751255
3.211826911,3.567095162
3.568696567,3.963439069
3.925566224,4.359782976
4.282435881,4.756126883
4.639305537,5.15247079
4.996175194,5.548814697
5.353044851,5.945158604
5.559745425,5.886086191
5.766445999,5.827013778
5.973146573,5.767941366
6.179847148,5.708868953
6.386547722,5.64979654
6.593248296,5.590724127
6.79994887,5.531651715
7.006649444,5.472579302
7.213350019,5.413506889
7.420050593,5.354434476
7.626751167,5.295362064
7.833451741,5.236289651
8.040152315,5.177217238
8.246852889,5.118144825
8.453553464,5.059072413
8.660254038,5
5.349679088,6.103616251
5.346313325,6.262073899
5.342947562,6.420531546
5.339581799,6.578989193
5.336216036,6.737446841
5.332850273,6.895904488
5.32948451,7.054362135
5.326118747,7.212819783
5.322752984,7.37127743
5.319387221,7.529735077
5.316021458,7.688192725
5.312655694,7.846650372
5.309289931,8.005108019
5.305924168,8.163565667
5.302558405,8.322023314
5.299192642,8.480480962
