x (miles),y (miles)
0,0
0.44729097,0.290474152
0.894581939,0.580948304
1.341872909,0.871422456
1.789163878,1.161896608
2.236454848,1.45237076
2.683745817,1.742844913
3.131036787,2.033319064
3.578327757,2.323793216
4.025618727,2.614267368
4.472909695,2.90474152
4.920200665,3.195215672
5.367491635,3.485689824
5.814782604,3.776163976
6.262073574,4.066638128
6.709364544,4.35711228
6.893732901,4.246554666
7.078101258,4.135997051
7.262469616,4.025439438
7.446837974,3.914881823
7.631206331,3.804324208
7.815574688,3.693766594
7.999943046,3.58320898
8.184311403,3.472651366
8.368679761,3.362093751
8.553048118,3.251536136
8.737416476,3.140978523
8.921784833,3.030420908
9.10615319,2.919863294
9.290521547,2.809305679
9.474889906,2.698748066
9.659258263,2.588190451
6.747125323,4.511041737
6.784886103,4.664971196
6.822646882,4.818900653
6.860407662,4.97283011
6.898168442,5.126759568
6.935929221,5.280689025
6.973690001,5.434618482
7.01145078,5.588547941
7.04921156,5.742477398
7.086972339,5.896406855
7.124733119,6.050336313
7.162493898,6.20426577
7.200254677,6.358195228
7.238015457,6.512124686
7.275776236,6.666054143
7.313537016,6.819983601
