,X,Y
0,0.6,8.07
1,0.63,7.97
2,0.75,7.58
3,1.2,6.82
4,1.54,6.48
5,2.44,6.46
6,3.37,6.33
7,3.8,6.71
8,3.79,6.71
9,3.43,6.9
10,3.1,7.23
11,2.77,7.57
12,2.43,7.91
13,2.61,8.34
14,3.02,8.87
15,3.29,9.23
16,3.42,9.61
17,3.54,10.04
18,3.74,10.45
19,4.01,10.83
20,4.29,11.21
21,4.11,6.59
22,4.55,6.44
23,4.66,6.4
24,4.98,6.28
25,5.37,6.07
26,5.77,5.87
27,6.09,5.64
28,6.22,5.25
29,6.43,4.86
30,6.77,4.53
31,7.11,4.19
32,7.45,3.86
33,7.62,3.69
34,7.7,3.61
35,8.04,3.28
36,8.39,2.98
37,8.75,2.73
38,9.13,2.5
39,9.53,2.29
40,9.93,2.09
41,10.33,1.88
42,10.75,1.78
43,10.58,1.58
44,10.28,1.28
45,10.44,0.96
46,10.54,0.9
