,X,Y
0,0,0
1,0.05,0.11
2,0.1,0.23
3,0.15,0.34
4,0.2,0.46
5,0.25,0.57
6,0.31,0.69
7,0.36,0.8
8,0.41,0.91
9,0.46,1.03
10,0.51,1.14
11,0.56,1.26
12,0.61,1.37
13,0.66,1.48
14,0.71,1.6
15,0.81,1.83
16,1.27,2.08
17,1.72,2.33
18,2.18,2.59
19,2.63,2.84
20,3.09,3.09
21,3.54,3.35
22,4,3.6
23,4.45,3.85
24,4.91,4.11
25,5.36,4.36
26,5.82,4.61
27,6.27,4.87
28,6.73,5.12
29,7.18,5.37
30,7.64,5.62
31,8.09,5.88
32,0.83,2.33
33,0.84,2.84
34,0.86,3.35
35,0.87,3.86
36,0.89,4.36
37,0.9,4.87
38,0.91,5.38
39,0.93,5.89
40,0.94,6.39
41,0.96,6.9
42,0.97,7.41
43,0.99,7.92
44,1,8.42
45,1.02,8.93
46,1.03,9.44
47,1.05,9.95
