x (miles),y (miles)
0.001,0.001
0.171289773,0.076263121
0.342579547,0.152526241
0.513869322,0.22878936
0.685159093,0.305052482
0.856448867,0.381315603
1.027738642,0.4575787
1.199028413,0.53384184
1.370318186,0.61010496
1.541607965,0.68636808
1.712897734,0.7626312
1.884187507,0.83889432
2.055477287,0.91515744
2.226767054,0.99142056
2.398056827,1.06768368
2.740636373,1.220209929
3.055062826,1.53727205
3.369489279,1.85433417
3.683915731,2.171396301
3.998342184,2.48845842
4.312768637,2.80552054
4.627195089,3.12258267
4.941621542,3.43964479
5.256047994,3.75670692
5.570474446,4.07376904
5.8849009,4.39083116
6.199327352,4.70789329
6.513753805,5.02495541
6.828180258,5.34201753
7.142606709,5.65907966
7.457033163,5.97614178
7.771459615,6.2932039
