x,y
2.213017664,8.840997
2.351826194,8.112700497
2.421230459,7.748552246
2.490634724,7.384403995
2.560038989,7.020255743
2.629443254,6.656107492
2.698847519,6.29195924
2.768251784,5.927810989
2.837656049,5.563662738
2.907060314,5.199514486
2.976464579,4.835366235
3.045868844,4.471217984
3.115273109,4.107069732
3.184677374,3.742921481
3.254081639,3.378773229
3.323485904,3.014624978
3.596765286,3.165121796
3.870044668,3.315618615
4.143324049,3.466115433
4.416603431,3.616612251
4.689882813,3.767109069
4.963162195,3.917605888
5.236441577,4.068102706
5.509720959,4.218599524
5.78300034,4.369096343
6.056279722,4.519593161
6.329559104,4.670089979
6.602838486,4.820586797
6.876117868,4.971083616
7.149397249,5.121580434
7.422676631,5.272077252
7.695956013,5.422574071
